v1,v2
0,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
0,How do you guys go to see movies on your side.
0,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip
0,Can not use foreign stamps in this country.
0,Have you seen who's back at Holby?!
0,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\"""""
0,"Dear, will call Tmorrow.pls accomodate."
0,"Sure, I'll see if I can come by in a bit"
0,Oh Howda gud gud.. Mathe en samachara chikku:-)
0,I want to see your pretty pussy...
0,Oooh I got plenty of those!
0,Hey gals.. Anyone of u going down to e driving centre tmr?
0,Babe ? I lost you ... Will you try rebooting ?
0,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
0,Yup Ì_ not comin :-(
0,Dare i ask... Any luck with sorting out the car?
0,K..k...from tomorrow onwards started ah?
0,K.:)do it at evening da:)urgent:)
0,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo
0,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
0,Please don't text me anymore. I have nothing else to say.
0,No..jst change tat only..
0,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
0,"Babe, I'm back ... Come back to me ..."
0,"I didnt get ur full msg..sometext is missing, send it again"
0,Aight sorry I take ten years to shower. What's the plan?
0,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
0,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
0,S:)s.nervous  &lt;#&gt; :)
0,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
0,Where is that one day training:-)
0,But i'm surprised she still can guess right lor...
0,"And very importantly, all we discuss is between u and i only."
0,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
0,"As in missionary hook up, doggy hook up, standing...|"
0,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
0,Wake me up at  &lt;#&gt;  am morning:)
0,Otherwise had part time job na-tuition..
0,"Haha, that was the first person I was gonna ask"
0,WHO ARE YOU SEEING?
0,"Night night, see you tomorrow"
0,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
0,I will treasure every moment we spend together...
0,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
0,Those ducking chinchillas
0,"Ah, well that confuses things, doesnÛ÷t it?"
0,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
0,Tired. I haven't slept well the past few nights.
0,You said to me before i went back to bed that you can't sleep for anything.
0,Gud mrng dear hav a nice day
0,WOT U WANNA DO THEN MISSY?
0,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
0,Once free call me sir. I am waiting for you.
0,"\What are youdoing later? Sar xxx\"""""
0,Hi dude hw r u da realy mising u today
0,"Haha better late than ever, any way I could swing by?"
0,meet you in corporation st outside gap Û_ you can see how my mind is working!
0,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
0,Its sunny in california. The weather's just cool
0,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
0,I just saw ron burgundy captaining a party boat so yeah
0,O i played smash bros  &lt;#&gt;  religiously.
0,"Don't worry, * is easy once have ingredients!"
0,No probably  &lt;#&gt; %.
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
0,I dont want to hear anything
0,Ok then i will come to ur home after half an hour
0,I will come to ur home now
0,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
0,Its a part of checking IQ
0,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
0,Now project pa. After that only i can come.
0,Did you get any gift? This year i didnt get anything. So bad
0,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
0,Can you do online transaction?
0,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
0,I'm going 2 orchard now laready me reaching soon. U reaching?
0,All done? All handed in? Celebrations in full swing yet?
0,U coming 2 pick me?
