Species,Length,Value,,,,,,,,,,
종로구,세대(세대),72679,,,,,,,,,,
종로구,계(명),152212,,,,,,,,,,
종로구,한국인(명),141060,,,,,,,,,,
종로구,등록외국인(명),11152,,,,,,,,,,
종로구,세대당 인구(명),1.94,,,,,,,,,,
종로구,65세 이상 고령자(명),28265,,,,,,,,,,
종로구,인구밀도,2,,,,,,,,,,
중구,세대(세대),63862,,,,,,,,,,
중구,계(명),131390,,,,,,,,,,
중구,한국인(명),120963,,,,,,,,,,
중구,등록외국인(명),10427,,,,,,,,,,
중구,세대당 인구(명),1.89,,,,,,,,,,
중구,65세 이상 고령자(명),25353,,,,,,,,,,
중구,인구밀도,2,,,,,,,,,,
용산구,세대(세대),109735,,,,,,,,,,
용산구,계(명),232482,,,,,,,,,,
용산구,한국인(명),217756,,,,,,,,,,
용산구,등록외국인(명),14726,,,,,,,,,,
용산구,세대당 인구(명),1.98,,,,,,,,,,
용산구,65세 이상 고령자(명),39478,,,,,,,,,,
용산구,인구밀도,2,,,,,,,,,,
성동구,세대(세대),133513,,,,,,,,,,
성동구,계(명),287240,,,,,,,,,,
성동구,한국인(명),280240,,,,,,,,,,
성동구,등록외국인(명),7000,,,,,,,,,,
성동구,세대당 인구(명),2.1,,,,,,,,,,
성동구,65세 이상 고령자(명),48238,,,,,,,,,,
성동구,인구밀도,2,,,,,,,,,,
광진구,세대(세대),169787,,,,,,,,,,
광진구,계(명),350925,,,,,,,,,,
광진구,한국인(명),336801,,,,,,,,,,
광진구,등록외국인(명),14124,,,,,,,,,,
광진구,세대당 인구(명),1.98,,,,,,,,,,
광진구,65세 이상 고령자(명),54854,,,,,,,,,,
광진구,인구밀도,2,,,,,,,,,,
동대문구,세대(세대),171140,,,,,,,,,,
동대문구,계(명),354884,,,,,,,,,,
동대문구,한국인(명),337574,,,,,,,,,,
동대문구,등록외국인(명),17310,,,,,,,,,,
동대문구,세대당 인구(명),1.97,,,,,,,,,,
동대문구,65세 이상 고령자(명),65154,,,,,,,,,,
동대문구,인구밀도,2,,,,,,,,,,
중랑구,세대(세대),187898,,,,,,,,,,
중랑구,계(명),389928,,,,,,,,,,
중랑구,한국인(명),385003,,,,,,,,,,
